,Actor,PageLink
65,Arshad Warsi,/wiki/Arshad_Warsi
66,Arun Sarnaik,/wiki/Arun_Sarnaik
67,Arunoday Singh,/wiki/Arunoday_Singh
68,Arvind Krishna,/wiki/Arvind_Krishna
69,Arvind Swamy,/wiki/Arvind_Swamy
70,Arya Babbar,/wiki/Arya_Babbar
71,Arya (actor),/wiki/Arya_(actor)
72,Asif Ali (actor),/wiki/Asif_Ali_(actor)
73,Ashish Vidyarthi,/wiki/Ashish_Vidyarthi
74,Ashok (Kannada actor),/wiki/Ashok_(Kannada_actor)
75,Ashok Kumar,/wiki/Ashok_Kumar
76,Asrani,/wiki/Asrani
77,Ashok Saraf,/wiki/Ashok_Saraf
78,Ashok Selvan,/wiki/Ashok_Selvan
79,Attakathi Dinesh,/wiki/Attakathi_Dinesh
80,Atul Agnihotri,/wiki/Atul_Agnihotri
81,Atul Kulkarni (actor born 1965),/wiki/Atul_Kulkarni_(actor_born_1965)
82,Auditya,/wiki/Auditya
83,Avinash,/wiki/Avinash
84,Ayushman Khurana,/wiki/Ayushman_Khurana
85,B. C. Patil,/wiki/B._C._Patil
86,B. R. Panthulu,/wiki/B._R._Panthulu
87,Baburaj (actor),/wiki/Baburaj_(actor)
88,Babu Antony,/wiki/Babu_Antony
89,Balakrishna (Kannada actor),/wiki/Balakrishna_(Kannada_actor)
90,Balakrishna Nandamuri,/wiki/Balakrishna_Nandamuri
91,Balan K. Nair,/wiki/Balan_K._Nair
92,Balaraj,/wiki/Balaraj
93,Balraj Sahni,/wiki/Balraj_Sahni
94,Bank Janardhan,/wiki/Bank_Janardhan
95,Barun Sobti,/wiki/Barun_Sobti
96,Benjamin Gilani,/wiki/Benjamin_Gilani
97,Bhagwan Dada,/wiki/Bhagwan_Dada
98,Bhanu Chander,/wiki/Bhanu_Chander
99,Bharat Bhushan Bhalla,/wiki/Bharat_Bhushan_Bhalla
100,Bharat Jadhav,/wiki/Bharat_Jadhav
101,Bharath Gopi,/wiki/Bharath_Gopi
102,Bharath Srinivasan,/wiki/Bharath_Srinivasan
103,Bharathiraja,/wiki/Bharathiraja
104,Bank Janardhan,/wiki/Bank_Janardhan
105,Bijon Bhattacharya,/wiki/Bijon_Bhattacharya
106,Biju Menon,/wiki/Biju_Menon
107,Biswajit Chatterjee,/wiki/Biswajit_Chatterjee
108,Bob Christo,/wiki/Bob_Christo
109,Bobby Deol,/wiki/Bobby_Deol
110,Bobby Kottarakkara,/wiki/Bobby_Kottarakkara
111,Bobby Simha,/wiki/Bobby_Simha
112,Boman Irani,/wiki/Boman_Irani
113,Brahmanandam,/wiki/Brahmanandam
114,Bullet Prakash,/wiki/Bullet_Prakash
115,C. R. Simha,/wiki/C._R._Simha
116,Chandra Mohan (Hindi actor),/wiki/Chandra_Mohan_(Hindi_actor)
117,Chandra Mohan (Telugu actor),/wiki/Chandra_Mohan_(Telugu_actor)
118,Chandrachur Singh,/wiki/Chandrachur_Singh
119,Chandrashekhar,/wiki/Chandrashekhar
120,Charan Raj,/wiki/Charan_Raj
121,Charlie (actor),/wiki/Charlie_(actor)
122,Charu Hassan,/wiki/Charu_Hassan
123,Chetan Chandra,/wiki/Chetan_Chandra
124,Chetan Kumar,/wiki/Chetan_Kumar
125,Chhabi Biswas,/wiki/Chhabi_Biswas
126,Chi. Guru Dutt,/wiki/Chi._Guru_Dutt
127,Chinni Jayanth,/wiki/Chinni_Jayanth
128,Chikkanna,/wiki/Chikkanna
129,Chiranjeevi,/wiki/Chiranjeevi
130,Chiranjeevi Sarja,/wiki/Chiranjeevi_Sarja
131,Chittor V. Nagaiah,/wiki/Chittor_V._Nagaiah
132,Chunky Pandey,/wiki/Chunky_Pandey
133,Crazy Mohan,/wiki/Crazy_Mohan
134,Cyrus Broacha,/wiki/Cyrus_Broacha
135,Cyrus Sahukar,/wiki/Cyrus_Sahukar
136,Dada Kondke,/wiki/Dada_Kondke
137,Dalip Tahil,/wiki/Dalip_Tahil
138,Danny Denzongpa,/wiki/Danny_Denzongpa
139,Dara Singh,/wiki/Dara_Singh
140,Darshan (actor),/wiki/Darshan_(actor)
141,Darsheel Safary,/wiki/Darsheel_Safary
142,H. G. Dattatreya,/wiki/H._G._Dattatreya
143,David Abraham Cheulkar,/wiki/David_Abraham_Cheulkar
144,Deepak Dobriyal,/wiki/Deepak_Dobriyal
145,Deepak Tijori,/wiki/Deepak_Tijori
146,Dev (actor),/wiki/Dev_(actor)
147,Dev Anand,/wiki/Dev_Anand
148,Dev Gill,/wiki/Dev_Gill
149,Devan (actor),/wiki/Devan_(actor)
150,Devaraj,/wiki/Devaraj
151,Deven Verma,/wiki/Deven_Verma
152,Dharmavarapu Subramanyam,/wiki/Dharmavarapu_Subramanyam
153,Dharmendra,/wiki/Dharmendra
154,Dhanush,/wiki/Dhanush
155,Dheerendra Gopal,/wiki/Dheerendra_Gopal
156,Dhruva Sarja,/wiki/Dhruva_Sarja
157,Diganth,/wiki/Diganth
158,Dinesh (Kannada actor),/wiki/Dinesh_(Kannada_actor)
159,Dingri Nagaraj,/wiki/Dingri_Nagaraj
160,Dino Morea,/wiki/Dino_Morea
161,Dileep,/wiki/Dileep
162,Diljit Dosanjh,/wiki/Diljit_Dosanjh
163,Dilip Kumar,/wiki/Dilip_Kumar
164,Dilip Prabhavalkar,/wiki/Dilip_Prabhavalkar
165,Doddanna,/wiki/Doddanna
166,Dulquer Salmaan,/wiki/Dulquer_Salmaan
167,Duniya Vijay,/wiki/Duniya_Vijay
168,Dwarakish,/wiki/Dwarakish
169,Emraan Hashmi,/wiki/Emraan_Hashmi
170,Erick Avari,/wiki/Erick_Avari
171,Fahadh Faasil,/wiki/Fahadh_Faasil
172,Faisal Khan,/wiki/Faisal_Khan
173,Fardeen Khan,/wiki/Fardeen_Khan
174,Farhan Akhtar,/wiki/Farhan_Akhtar
175,Farooq Sheikh,/wiki/Farooq_Sheikh
176,"Feroz Khan (actor, born 1939)","/wiki/Feroz_Khan_(actor,_born_1939)"
177,Fish Venkat,/wiki/Fish_Venkat
178,Fawad Khan,/wiki/Fawad_Khan
179,G. K. Govinda Rao,/wiki/G._K._Govinda_Rao
180,G. V. Iyer,/wiki/G._V._Iyer
181,Ganesh (actor),/wiki/Ganesh_(actor)
182,Ganesh Venkatraman,/wiki/Ganesh_Venkatraman
183,Gangadhar (Kannada actor),/wiki/Gangadhar_(Kannada_actor)
184,Gaurav Chanana,/wiki/Gaurav_Chanana
