,Actor,PageLink
402,Nana Patekar,/wiki/Nana_Patekar
403,Nani (actor),/wiki/Nani_(actor)
404,Narain (actor),/wiki/Narain_(actor)
405,Narasimharaju (Kannada actor),/wiki/Narasimharaju_(Kannada_actor)
406,Narasimharaju (Telugu actor),/wiki/Narasimharaju_(Telugu_actor)
407,Narendra Prasad,/wiki/Narendra_Prasad
408,Naresh (actor),/wiki/Naresh_(actor)
409,Naseeruddin Shah,/wiki/Naseeruddin_Shah
410,Nassar (actor),/wiki/Nassar_(actor)
411,Navdeep,/wiki/Navdeep
412,Nawazuddin Siddiqui,/wiki/Nawazuddin_Siddiqui
413,Nedumudi Venu,/wiki/Nedumudi_Venu
414,Negro Johnny,/wiki/Negro_Johnny
415,Neil Nitin Mukesh,/wiki/Neil_Nitin_Mukesh
416,Nikhil Siddharth,/wiki/Nikhil_Siddharth
417,Nilu Phule,/wiki/Nilu_Phule
418,Ninad Kamat,/wiki/Ninad_Kamat
419,Nithin,/wiki/Nithin
420,Nivin Pauly,/wiki/Nivin_Pauly
421,N. T. Rama Rao,/wiki/N._T._Rama_Rao
422,N. T. Rama Rao Jr.,/wiki/N._T._Rama_Rao_Jr.
423,Nandish Sandhu,/wiki/Nandish_Sandhu
424,Nazir Hussain,/wiki/Nazir_Hussain
425,Omkar Kapoor,/wiki/Omkar_Kapoor
426,Oduvil Unnikrishnan,/wiki/Oduvil_Unnikrishnan
427,Om Prakash,/wiki/Om_Prakash
428,Om Puri,/wiki/Om_Puri
429,Om Shivpuri,/wiki/Om_Shivpuri
430,Omi Vaidya,/wiki/Omi_Vaidya
431,Pankaj Kapoor,/wiki/Pankaj_Kapoor
432,Paresh Rawal,/wiki/Paresh_Rawal
433,Parikshit Sahni,/wiki/Parikshit_Sahni
434,Parmeet Sethi,/wiki/Parmeet_Sethi
435,Parvin Dabas,/wiki/Parvin_Dabas
436,Parzan Dastur,/wiki/Parzan_Dastur
437,Pasupathy,/wiki/Pasupathy
438,Pawan Kalyan,/wiki/Pawan_Kalyan
439,Pinchoo Kapoor,/wiki/Pinchoo_Kapoor
440,Prabhas Raju Uppalapati,/wiki/Prabhas_Raju_Uppalapati
441,Prabhu Deva,/wiki/Prabhu_Deva
442,Prabhu Ganesan,/wiki/Prabhu_Ganesan
443,Pradeep Kumar,/wiki/Pradeep_Kumar
444,Pradeep Rawat (actor),/wiki/Pradeep_Rawat_(actor)
445,Prajwal Devaraj,/wiki/Prajwal_Devaraj
446,Prakash Raj,/wiki/Prakash_Raj
447,Pran (actor),/wiki/Pran_(actor)
448,Pranav Mohanlal,/wiki/Pranav_Mohanlal
449,Prasadbabu,/wiki/Prasadbabu
450,Prasanna (actor),/wiki/Prasanna_(actor)
451,Prasenjit Chatterjee,/wiki/Prasenjit_Chatterjee
452,Prashant Damle,/wiki/Prashant_Damle
453,Prashanta Nanda,/wiki/Prashanta_Nanda
454,Prashanth Thyagarajan,/wiki/Prashanth_Thyagarajan
455,Prateik Babbar,/wiki/Prateik_Babbar
456,Kuri Prathap,/wiki/Kuri_Prathap
457,Prem (director),/wiki/Prem_(director)
458,Prem Chopra,/wiki/Prem_Chopra
459,Prem Kumar (Kannada actor),/wiki/Prem_Kumar_(Kannada_actor)
460,Prem Nath,/wiki/Prem_Nath
461,Prem Nazir,/wiki/Prem_Nazir
462,Prithviraj (Telugu actor),/wiki/Prithviraj_(Telugu_actor)
463,Prithviraj Kapoor,/wiki/Prithviraj_Kapoor
464,Prithviraj Sukumaran,/wiki/Prithviraj_Sukumaran
465,Puneet Issar,/wiki/Puneet_Issar
466,Puneet Rajkumar,/wiki/Puneet_Rajkumar
467,Puri Jagannadh,/wiki/Puri_Jagannadh
468,R. Madhavan,/wiki/R._Madhavan
469,Raaj Kumar,/wiki/Raaj_Kumar
470,Raghavendra Rajkumar,/wiki/Raghavendra_Rajkumar
471,Raghu Babu,/wiki/Raghu_Babu
472,Raghu Mukherjee,/wiki/Raghu_Mukherjee
473,Raghubir Yadav,/wiki/Raghubir_Yadav
474,Raghuvaran,/wiki/Raghuvaran
475,Rahman (actor),/wiki/Rahman_(actor)
476,Rahul Roy,/wiki/Rahul_Roy
477,Rahul Bose,/wiki/Rahul_Bose
478,Rahul Dev,/wiki/Rahul_Dev
479,Raja Shankar,/wiki/Raja_Shankar
480,Raj Babbar,/wiki/Raj_Babbar
481,Raj Kapoor,/wiki/Raj_Kapoor
482,Rajanand,/wiki/Rajanand
483,Rajkummar Rao,/wiki/Rajkummar_Rao
484,Rajat Barmecha,/wiki/Rajat_Barmecha
485,Rajendra Kumar,/wiki/Rajendra_Kumar
486,Rajendra Nath,/wiki/Rajendra_Nath
487,Rajesh (Kannada actor),/wiki/Rajesh_(Kannada_actor)
488,Rajesh Khanna,/wiki/Rajesh_Khanna
489,Rajesh Khattar,/wiki/Rajesh_Khattar
490,Rajesh Krishnan,/wiki/Rajesh_Krishnan
491,Rajit Kapoor,/wiki/Rajit_Kapoor
492,Rajinikanth,/wiki/Rajinikanth
493,Ram Kapoor,/wiki/Ram_Kapoor
494,Rajeev Verma,/wiki/Rajeev_Verma
495,Rajiv Kanakala,/wiki/Rajiv_Kanakala
496,Rajiv Kapoor,/wiki/Rajiv_Kapoor
497,Rajkumar (actor),/wiki/Rajkumar_(actor)
498,Rajneesh Duggal,/wiki/Rajneesh_Duggal
499,Rajpal Yadav,/wiki/Rajpal_Yadav
500,Raju Srivastav,/wiki/Raju_Srivastav
501,Rakesh Bedi,/wiki/Rakesh_Bedi
502,Rakesh Roshan,/wiki/Rakesh_Roshan
503,Ramakrishna (Kannada actor),/wiki/Ramakrishna_(Kannada_actor)
504,Ramki (actor),/wiki/Ramki_(actor)
505,Ram Charan Teja,/wiki/Ram_Charan_Teja
506,Ramesh Aravind,/wiki/Ramesh_Aravind
507,Ramesh Babu,/wiki/Ramesh_Babu
508,Ramesh Bhat,/wiki/Ramesh_Bhat
509,Ramesh Deo,/wiki/Ramesh_Deo
510,Ramesh Khanna,/wiki/Ramesh_Khanna
511,Ramkumar,/wiki/Ramkumar
512,Ram Pothineni,/wiki/Ram_Pothineni
513,Ranbir Kapoor,/wiki/Ranbir_Kapoor
514,Randeep Hooda,/wiki/Randeep_Hooda
515,Randhir Kapoor,/wiki/Randhir_Kapoor
516,Ranjeet,/wiki/Ranjeet
517,Ranveer Singh,/wiki/Ranveer_Singh
518,Ranvir Shorey,/wiki/Ranvir_Shorey
519,Ravi Babu,/wiki/Ravi_Babu
520,Ravi Kishan,/wiki/Ravi_Kishan
521,Ravi Prakash (Telugu actor),/wiki/Ravi_Prakash_(Telugu_actor)
522,P. Ravi Shankar,/wiki/P._Ravi_Shankar
523,Ravi Teja,/wiki/Ravi_Teja
524,Ravichandran (Tamil actor),/wiki/Ravichandran_(Tamil_actor)
525,V. Ravichandran,/wiki/V._Ravichandran
526,Raza Murad,/wiki/Raza_Murad
527,Richard Rishi,/wiki/Richard_Rishi
528,Rishi Kapoor,/wiki/Rishi_Kapoor
529,Riteish Deshmukh,/wiki/Riteish_Deshmukh
530,Riyaz Khan,/wiki/Riyaz_Khan
531,Rockline Venkatesh,/wiki/Rockline_Venkatesh
532,Rohit Roy,/wiki/Rohit_Roy
533,Ronit Roy,/wiki/Ronit_Roy
534,Roshan Meka,/wiki/Roshan_Meka
535,Roshan Seth,/wiki/Roshan_Seth
536,S. Narayan,/wiki/S._Narayan
537,S Sathyendra,/wiki/S_Sathyendra
538,S. J. Suryaah,/wiki/S._J._Suryaah
539,S. P. Balasubrahmanyam,/wiki/S._P._Balasubrahmanyam
540,S. P. B. Charan,/wiki/S._P._B._Charan
541,S. Shankar,/wiki/S._Shankar
542,S. V. Ranga Rao,/wiki/S._V._Ranga_Rao
543,Saandip,/wiki/Saandip
544,Sachet Engineer,/wiki/Sachet_Engineer
545,Sachin Pilgaonkar,/wiki/Sachin_Pilgaonkar
546,Sachin Khedekar,/wiki/Sachin_Khedekar
547,Sachin Pilot,/wiki/Sachin_Pilot
548,Sadhu Kokila,/wiki/Sadhu_Kokila
549,Saeed Jaffrey,/wiki/Saeed_Jaffrey
550,Sahil Khan,/wiki/Sahil_Khan
551,Sahil Shroff,/wiki/Sahil_Shroff
552,Sai Kumar (Kannada actor),/wiki/Sai_Kumar_(Kannada_actor)
553,Saikumar (Malayalam actor),/wiki/Saikumar_(Malayalam_actor)
554,Saif Ali Khan,/wiki/Saif_Ali_Khan
555,Sai Dharam Tej,/wiki/Sai_Dharam_Tej
556,Sajid Khan,/wiki/Sajid_Khan
557,Saleem Kumar,/wiki/Saleem_Kumar
558,Salim Khan,/wiki/Salim_Khan
559,Salman Khan,/wiki/Salman_Khan
560,Sameer Dattani,/wiki/Sameer_Dattani
561,Samir Soni,/wiki/Samir_Soni
562,Sampath (Kannada actor),/wiki/Sampath_(Kannada_actor)
563,Sampath Raj,/wiki/Sampath_Raj
564,Sandeep Kulkarni,/wiki/Sandeep_Kulkarni
565,Sanjay Dutt,/wiki/Sanjay_Dutt
566,Sanjay Kapoor,/wiki/Sanjay_Kapoor
567,Sanjay Khan,/wiki/Sanjay_Khan
568,Sanjay Suri,/wiki/Sanjay_Suri
569,Sanjeev Kumar,/wiki/Sanjeev_Kumar
570,Sankaradi,/wiki/Sankaradi
571,Sanketh Kashi,/wiki/Sanketh_Kashi
572,Santhanam (actor),/wiki/Santhanam_(actor)
573,Sapru (actor),/wiki/Sapru_(actor)
574,Sarath Babu,/wiki/Sarath_Babu
575,Sarath Kumar,/wiki/Sarath_Kumar
576,Sarfaraz Khan,/wiki/Sarfaraz_Khan
577,Sathyaraj,/wiki/Sathyaraj
578,Sathyan (actor),/wiki/Sathyan_(actor)
579,Sathyan (Tamil actor),/wiki/Sathyan_(Tamil_actor)
580,Satish Shah,/wiki/Satish_Shah
581,Sathish Ninasam,/wiki/Sathish_Ninasam
582,Satyajeet Puri,/wiki/Satyajeet_Puri
583,Sathyajith (Kannada actor),/wiki/Sathyajith_(Kannada_actor)
584,Sayaji Shinde,/wiki/Sayaji_Shinde
585,Senthil (actor),/wiki/Senthil_(actor)
586,Shaam (actor),/wiki/Shaam_(actor)
587,Shahid Kapoor,/wiki/Shahid_Kapoor
588,Shah Rukh Khan,/wiki/Shah_Rukh_Khan
589,Shammi Kapoor,/wiki/Shammi_Kapoor
590,Shani Mahadevappa,/wiki/Shani_Mahadevappa
591,Shankar (actor),/wiki/Shankar_(actor)
592,Shankar Nag,/wiki/Shankar_Nag
593,Sharad Kelkar,/wiki/Sharad_Kelkar
594,Sharad Talwalkar,/wiki/Sharad_Talwalkar
595,Sharman Joshi,/wiki/Sharman_Joshi
596,Sharath Babu,/wiki/Sharath_Babu
597,Sharath Kumar,/wiki/Sharath_Kumar
598,Sharath Lohitashwa,/wiki/Sharath_Lohitashwa
599,Sharman Joshi,/wiki/Sharman_Joshi
600,Shashank shende,/wiki/Shashank_shende
601,Shashi Kapoor,/wiki/Shashi_Kapoor
602,Shashikumar,/wiki/Shashikumar
603,Shatrughan Sinha,/wiki/Shatrughan_Sinha
604,Shehzad Khan,/wiki/Shehzad_Khan
605,Shekhar Suman,/wiki/Shekhar_Suman
606,Shiny Ahuja,/wiki/Shiny_Ahuja
607,Shirish Kunder,/wiki/Shirish_Kunder
608,Shivarajkumar,/wiki/Shivarajkumar
609,Shobaraj (actor),/wiki/Shobaraj_(actor)
610,Shreela Ghosh,/wiki/Shreela_Ghosh
611,Shreyas Talpade,/wiki/Shreyas_Talpade
612,Shriram Lagoo,/wiki/Shriram_Lagoo
613,Sibiraj,/wiki/Sibiraj
614,Sidhant Gupta,/wiki/Sidhant_Gupta
615,Sidharth Malhotra,/wiki/Sidharth_Malhotra
616,Siddhanta Mahapatra,/wiki/Siddhanta_Mahapatra
617,Siddharth Koirala,/wiki/Siddharth_Koirala
618,Sidharth Malhotra,/wiki/Sidharth_Malhotra
619,Siddharth Narayan,/wiki/Siddharth_Narayan
620,Siddharth Roy Kapur,/wiki/Siddharth_Roy_Kapur
621,Silambarasan Rajendar,/wiki/Silambarasan_Rajendar
622,Sihi Kahi Chandru,/wiki/Sihi_Kahi_Chandru
623,Sikandar Kher,/wiki/Sikandar_Kher
624,Siva Reddy,/wiki/Siva_Reddy
625,Sivaji Ganesan,/wiki/Sivaji_Ganesan
626,Sivakarthikeyan,/wiki/Sivakarthikeyan
627,Sivakumar,/wiki/Sivakumar
628,Sobhan Babu,/wiki/Sobhan_Babu
629,Sohail Khan,/wiki/Sohail_Khan
630,Soham Chakraborty,/wiki/Soham_Chakraborty
631,Sohrab Modi,/wiki/Sohrab_Modi
632,Sonu Nigam,/wiki/Sonu_Nigam
633,Sonu Sood,/wiki/Sonu_Sood
634,Sooraj Pancholi (actor),/wiki/Sooraj_Pancholi_(actor)
635,Sreenivasan (actor),/wiki/Sreenivasan_(actor)
636,Sri Murali,/wiki/Sri_Murali
637,Sridhar (Kannada actor),/wiki/Sridhar_(Kannada_actor)
638,Raghumudri Srihari,/wiki/Raghumudri_Srihari
639,Srikanth (Tamil actor),/wiki/Srikanth_(Tamil_actor)
640,Meka Srikanth,/wiki/Meka_Srikanth
641,Srinagar Kitty,/wiki/Srinagar_Kitty
642,Srinath,/wiki/Srinath
643,Sundeep Kishan,/wiki/Sundeep_Kishan
644,Srinivasa Murthy,/wiki/Srinivasa_Murthy
645,Srinivasa Reddy,/wiki/Srinivasa_Reddy
646,Srujan Lokesh,/wiki/Srujan_Lokesh
647,Subbaraju,/wiki/Subbaraju
648,Subbaraya Sharma,/wiki/Subbaraya_Sharma
649,Subrat Dutta,/wiki/Subrat_Dutta
650,Suchindra Bali,/wiki/Suchindra_Bali
651,Sudeep,/wiki/Sudeep
652,Sudheer (Kannada actor),/wiki/Sudheer_(Kannada_actor)
653,Sudheer Babu,/wiki/Sudheer_Babu
654,Sudhir Dalvi,/wiki/Sudhir_Dalvi
655,Sujan Mukhopadhyay,/wiki/Sujan_Mukhopadhyay
656,Sukumaran,/wiki/Sukumaran
657,Suman Setty,/wiki/Suman_Setty
658,Suman (actor),/wiki/Suman_(actor)
659,Sumanth,/wiki/Sumanth
660,Sumeet Raghavan,/wiki/Sumeet_Raghavan
