,Organisation,PageLink
48,Educate Girls,/wiki/Educate_Girls
49,Education Council of India,/wiki/Education_Council_of_India
50,Educational Consultants India,/wiki/Educational_Consultants_India
51,Ekal Vidyalaya,/wiki/Ekal_Vidyalaya
52,Eklavya foundation,/wiki/Eklavya_foundation
53,Jat Education Society Rohtak,/wiki/Jat_Education_Society_Rohtak
54,ES Tibet,/wiki/ES_Tibet
55,Everonn Public School,/wiki/Everonn_Public_School
56,EVidyaloka,/wiki/EVidyaloka
57,Foundation For Excellence,/wiki/Foundation_For_Excellence
58,Friends of Tribals Society,/wiki/Friends_of_Tribals_Society
59,GetVidya,/wiki/GetVidya
60,Goa Vidyaprasarak Mandal,/wiki/Goa_Vidyaprasarak_Mandal
61,"Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies and Research","/wiki/Gokhale_Education_Society%27s_R._H._Sapat_College_of_Engineering,_Management_Studies_and_Research"
62,Gujarat Vidhya Sabha,/wiki/Gujarat_Vidhya_Sabha
63,Himalayan Mountaineering Institute,/wiki/Himalayan_Mountaineering_Institute
64,Hitkarini Sabha,/wiki/Hitkarini_Sabha
65,Homi Bhabha Centre for Science Education,/wiki/Homi_Bhabha_Centre_for_Science_Education
66,Hyderabad (Sind) National Collegiate Board,/wiki/Hyderabad_(Sind)_National_Collegiate_Board
67,Ibn Sina Academy of Medieval Medicine and Sciences,/wiki/Ibn_Sina_Academy_of_Medieval_Medicine_and_Sciences
68,Increasing Diversity by Increasing Access,/wiki/Increasing_Diversity_by_Increasing_Access
69,Islamic Welfare Society,/wiki/Islamic_Welfare_Society
70,Indian Association of Chemistry Teachers,/wiki/Indian_Association_of_Chemistry_Teachers
71,Indian Association of Physics Teachers,/wiki/Indian_Association_of_Physics_Teachers
72,Indian Council of Education,/wiki/Indian_Council_of_Education
73,Indian Institute of Rural Management,/wiki/Indian_Institute_of_Rural_Management
74,Indian Public Schools' Conference,/wiki/Indian_Public_Schools%27_Conference
75,Indian Society for Technical Education,/wiki/Indian_Society_for_Technical_Education
76,Institute of Human Resources Development,/wiki/Institute_of_Human_Resources_Development
77,ISKCON Food Relief Foundation,/wiki/ISKCON_Food_Relief_Foundation
78,"Islamic Fiqh Academy, India","/wiki/Islamic_Fiqh_Academy,_India"
79,Jagadguru Kripalu Parishat,/wiki/Jagadguru_Kripalu_Parishat
80,Jagannath Gupta Memorial Education Society,/wiki/Jagannath_Gupta_Memorial_Education_Society
81,Jagriti Yatra,/wiki/Jagriti_Yatra
82,Jamia-e-Imania,/wiki/Jamia-e-Imania
83,K.P.M. Trust,/wiki/K.P.M._Trust
84,Kalvialaya,/wiki/Kalvialaya
85,Kalyanam (Non-governmental organization),/wiki/Kalyanam_(Non-governmental_organization)
86,Karnatak Lingayat Education Society,/wiki/Karnatak_Lingayat_Education_Society
87,Katha (NGO),/wiki/Katha_(NGO)
88,Kerala Mathematical Association,/wiki/Kerala_Mathematical_Association
89,Kerala Sasthra Sahithya Parishad,/wiki/Kerala_Sasthra_Sahithya_Parishad
90,Kunpan Cultural School,/wiki/Kunpan_Cultural_School
91,Lakshmipat Singhania Academy,/wiki/Lakshmipat_Singhania_Academy
92,LHA Charitable Trust,/wiki/LHA_Charitable_Trust
93,Maharashtra Knowledge Corporation,/wiki/Maharashtra_Knowledge_Corporation
94,Mahila Rashtriya Sangha,/wiki/Mahila_Rashtriya_Sangha
95,Mamidipudi Venkatarangaiya Foundation,/wiki/Mamidipudi_Venkatarangaiya_Foundation
96,Markazul Maarif,/wiki/Markazul_Maarif
97,Maulana Azad Education Foundation,/wiki/Maulana_Azad_Education_Foundation
98,Mizoram College Teachers' Association,/wiki/Mizoram_College_Teachers%27_Association
99,MKM Educational Trust,/wiki/MKM_Educational_Trust
100,Moinee Foundation,/wiki/Moinee_Foundation
101,Mowbrays Educational Society,/wiki/Mowbrays_Educational_Society
102,Muktangan,/wiki/Muktangan
103,Nadar Mahajana Sangam,/wiki/Nadar_Mahajana_Sangam
104,Nalanda Educational Institutions,/wiki/Nalanda_Educational_Institutions
105,National Commission for Minority Educational Institutions,/wiki/National_Commission_for_Minority_Educational_Institutions
106,National Council for Teacher Education,/wiki/National_Council_for_Teacher_Education
107,National Council of Educational Research and Training,/wiki/National_Council_of_Educational_Research_and_Training
108,National Institute of Management &amp; Technology,/wiki/National_Institute_of_Management_%26_Technology
109,National Institute of Mountaineering and Allied Sports,/wiki/National_Institute_of_Mountaineering_and_Allied_Sports
110,National Institute of Securities Markets,/wiki/National_Institute_of_Securities_Markets
111,National Skill Development Agency,/wiki/National_Skill_Development_Agency
112,Navodaya_Vidyalaya_Samiti,/wiki/Navodaya_Vidyalaya_Samiti
113,Nettur Technical Training Foundation,/wiki/Nettur_Technical_Training_Foundation
114,New Age International University,/wiki/New_Age_International_University
115,Next Education,/wiki/Next_Education
116,Nordic Centre in India,/wiki/Nordic_Centre_in_India
117,North East National Board of School Education,/wiki/North_East_National_Board_of_School_Education
118,Northwest College for Advanced Learning,/wiki/Northwest_College_for_Advanced_Learning
119,NTR Trust,/wiki/NTR_Trust
120,Nutan Vidyalaya Education Society,/wiki/Nutan_Vidyalaya_Education_Society
121,Our Children Foundation,/wiki/Our_Children_Foundation
122,Pankhudi,/wiki/Pankhudi
123,Pardada Pardadi Educational Society,/wiki/Pardada_Pardadi_Educational_Society
124,Parikrma Humanity Foundation,/wiki/Parikrma_Humanity_Foundation
125,Parisar Asha,/wiki/Parisar_Asha
126,Pratham,/wiki/Pratham
127,Project Nanhi Kali,/wiki/Project_Nanhi_Kali
128,"Project OBO: Our Bodies, (Our) Opinions","/wiki/Project_OBO:_Our_Bodies,_(Our)_Opinions"
129,PSG Group,/wiki/PSG_Group
130,Punjab State Board of Technical Education and Industrial Training,/wiki/Punjab_State_Board_of_Technical_Education_and_Industrial_Training
131,Rai Foundation,/wiki/Rai_Foundation
132,Rajalakshmi Institutions,/wiki/Rajalakshmi_Institutions
133,Read India,/wiki/Read_India
134,RGNIYD Regional Centre (Chandigarh),/wiki/RGNIYD_Regional_Centre_(Chandigarh)
135,"Rural Development Foundation, India","/wiki/Rural_Development_Foundation,_India"
136,Ryan International Group of Institutions,/wiki/Ryan_International_Group_of_Institutions
137,Sálim Ali Centre for Ornithology and Natural History,/wiki/S%C3%A1lim_Ali_Centre_for_Ornithology_and_Natural_History
138,Schools of Equality,/wiki/Schools_of_Equality
139,Science City Chennai,/wiki/Science_City_Chennai
140,Science Olympiad Foundation,/wiki/Science_Olympiad_Foundation
141,Sherab Gatsel Lobling School,/wiki/Sherab_Gatsel_Lobling_School
142,Shiksha Sanskriti Utthan Nyas,/wiki/Shiksha_Sanskriti_Utthan_Nyas
143,Shri Gangajali Education Society,/wiki/Shri_Gangajali_Education_Society
144,Society Against Violence in Education,/wiki/Society_Against_Violence_in_Education
145,St. Soldier Educational Society,/wiki/St._Soldier_Educational_Society
146,Symbiosis Society,/wiki/Symbiosis_Society
147,TalentSprint,/wiki/TalentSprint
148,Teach For India,/wiki/Teach_For_India
149,TES India,/wiki/TES_India
150,Tibetan Children's Villages,/wiki/Tibetan_Children%27s_Villages
151,United States-India Educational Foundation,/wiki/United_States-India_Educational_Foundation
152,UPAY,/wiki/UPAY
153,Uplift Humanity India,/wiki/Uplift_Humanity_India
154,VIBGYOR Group of Schools,/wiki/VIBGYOR_Group_of_Schools
155,Vidya Bharati,/wiki/Vidya_Bharati
156,Vignan Educational Foundation,/wiki/Vignan_Educational_Foundation
157,Vivekananda Educational Society,/wiki/Vivekananda_Educational_Society
158,Vivekananda Kendra,/wiki/Vivekananda_Kendra
159,Vivekananda Vidyaniketan Educational Institutions,/wiki/Vivekananda_Vidyaniketan_Educational_Institutions
160,Xseed education,/wiki/Xseed_education
161,Young Lamas Home School,/wiki/Young_Lamas_Home_School
162,The Youth Parliament,/wiki/The_Youth_Parliament
163,Yuva Unstoppable,/wiki/Yuva_Unstoppable
